name;vendor;catalog_no;Type
SULFAMIC ACID PWD PLWS PK/100;HACH;105599;Stock
ee CHROMAVER 3 PP 5 OR 10ML PK/100;HACH;1271099;Stock
CYCLOHEXANONE 100ML MDB;HACH;1403332;Stock
NITRAVER 5 PWD PLWS 25ML PK/100;HACH;1403499;Stock
ALUVER 3 POWDER PILLOWS PK/100;HACH;1429099;Stock
BLEACHING 3 RGT PWD PLWS PK/100;HACH;1429449;Stock
ASCORBIC ACID PWD PLWS PK/100;HACH;1457799;Stock
HYDRAVER 2 REAGENT 100 TESTS MDB;HACH;179032;Stock
MOLYBDATE 3 RGT SOLN, 50ML SCDB;HACH;199526;Stock
MOLYBDATE 3 RGT SOLN, 500ML;HACH;199549;Stock
MOLYBDOVANADATE RGT 100TESTS MDB;HACH;2076032-ID;Stock
MOLYBDOVANADATE RGT, 500ML;HACH;2076049;Stock
POTASSIUM PERSULFATE PP PK/100;HACH;2084769;Stock
DPD FREE CHLORINE RGT PP, 10 ML, PK/100;HACH;2105569;Stock
DPD TOT CHLORINE RGT PP 10 ML PK/100;HACH;2105669;Stock
FERROVER, IRON REAGENT PK/100;HACH;2105769;Stock
CUVER 1, COPPER REAGENT PK/100;HACH;2105869;Stock
ee PHOSVER 3 PWD PLWS 10ML PK/100;HACH;2106069;Stock
NITRAVER 5 PWD PLWS 10ML PK/100;HACH;2106169;Stock
CITRIC ACID, FOR SILICA PK/100;HACH;2106269;Stock
ZINCOVER 5, ZINC REAGENT PK/100;HACH;2106669;Stock
SULFAVER 4, SULFATE RGT PK/100;HACH;2106769;Stock
NITRIVER 3 PWD PLW 10ML PK/100;HACH;2107169;Stock
MOLYBDATE RGT, SILICA HR PK/100;HACH;2107369;Stock
ACID RGT, SILICA HIGH RNG PK/100;HACH;2107469;Stock
NITRIVER 2, NITRITE RGT PK/100;HACH;2107569;Stock
rr NESSLER RGT EX ALK, 500ML;HACH;2119449;Stock
ALKALINE CYANIDE RGT 100ML MDB;HACH;2122332;Stock
PAN IND SOLN, 0.1% 100ML MDB;HACH;2122432;Stock
PAN INDICATOR SOLN, 0.1% 500ML;HACH;2122449;Stock
rr COD DIGESTION VIAL, HR HW PK/25;HACH;2125925;Stock
PAN INDICATOR 0.3% 100ML MDB;HACH;2150232;Stock
DEHA REAGENT 1 PWD PLWS PK/100;HACH;2167969;Stock
DEHA REAGENT 2 SOLN, 100ML;HACH;2168042;Stock
EGTA SOLUTION, 50ML SCDB;HACH;2229726;Stock
EDTA SOLN, 1M 50ML SCDB;HACH;2241926;Stock
REAGENT SET, FOR SULFIDE;HACH;2244500;Stock
AMINO ACID F, PP FOR 10ML PK/100;HACH;2254069;Stock
CITRIC ACID RGT SOLN, 500ML;HACH;2254249;Stock
REAGENT SET, CA/MG HARDNESS;HACH;2319900;Stock
POLYVINYL ALCOHOL DISPRSNG RGT 50ML;HACH;2376526;Stock
MINERAL STABILIZER 50ML SCDB;HACH;2376626;Stock
QAC REAGENT 1 PWD PLW PK/50;HACH;2401066;Stock
QAC REAGENT 2, PWD PLWS PK/25;HACH;2401268;Stock
REAGENT SET, SILICA HIGH RANGE 10ML;HACH;2429600;Stock
REAGENT SET, SILICA LR 10ML;HACH;2459300;Stock
REAGENT SET, SILICA ULR BULK RGTS;HACH;2553500;Stock
RGT SET, ULR HARDNESS TOTAL;HACH;2603100;Stock
MOLYVER 1 RGT PP 10ML PK/100;HACH;2604299;Stock
MOLYVER 2 RGT PP 10ML PK/100;HACH;2604399;Stock
MOLYVER 3 RGT PP 10ML PK/100;HACH;2604499;Stock
RGT SET, TNT AMVER HR 50 TESTS;HACH;2606945;Stock
PHTHALATE-PHOSPHATE PP, PK/100;HACH;2615199;Stock
REAGENT SET, COBALT/NICKEL 10ML;HACH;2651600;Stock
Deionized (Demineralized) Water 100 mL;HACH;27242;Stock
SPADNS REAGENT SOLUTION, 100ML;HACH;44442;Stock
SPADNS REAGENT SOLN, 500ML;HACH;44449;Stock
EDTA REAGENT PWD PLWS PK/100;HACH;700599;Stock
AMIDO SULFURIC ACID(MERCK.1.00103.0100);MERCK;1.00103.0100;Stock
AMMONIUM HEPTAMOLYBDATE(MERCK.1.01182.0250);MERCK;1.01182.0250;Stock
AMMONIUM PEROXODISULFATE(MERCK.1.01201.0500);MERCK;1.01201.0500;Stock
Ammonium Iron(II) Sulfat Hexahydrate (MERK.1.03792.0500);MERCK;1.03792.0500;Stock
Ascorbic Acid(MERCK.1.00468.0100);MERCK;1.00468.0100;Stock
Bromo Cresol Green Indicator(MERCK.1.08121.0005);MERCK;1.08121.0005;Stock
Bromophenol Blue(MERCK 108122.0005);MERCK;1.08122.0005;Stock
CALCON CARBOXYLIC ACID(MERCK.1.04594.0050);MERCK;1.04594.0050;Stock
CITRIC ACID MONOHYDRATE(MERCK.1.00244.0500);MERCK;1.00244.0500;Stock
Conduc.Std.Sol.84 S/cm4(EutechECCON84BT);EUTECH;84BT;Stock
EBT Indicator(MERCK.1.03170.0025);MERCK;1.03170.0025;Stock
ETHANOLAMINE (MONO) 99% AR/ACS(LOBA CHEMIE.00134);LOBACHEMIE;00134;Stock
ETHANOLAMINE (MERCK.1.00844.2500);MERCK;1.00844.2500;Stock
GLASSMICROFIBRE WHATMAN(1822-047);WHATMAN;1822-047;Stock
Iodine (Merck 1.04761.0100);MERCK;1.04761.0100;Stock
Larutan Iodine 0.1N(MERCK 109910);MERCK;109910;Stock
Mercury Sulphate (MERCK.1.04480.0250);MERCK;1.04480.0250;Stock
Mercury thiocyanate(MERCK 1.0448.0100);MERCK;1.0448.0100;Stock
Methyl merah (MM) (MERCK 106076.0025);MERCK;1.06076.0025;Stock
Oxalic acid dihydrate(MERCK.1.00495.0500;MERCK;1.00495.0500;Stock
POTASIUM IODIDE(MERCK.105043.0250);MERCK;1.05043.0250;Stock
Pottasium dichromate(MERCK 104865.0500);MERCK;1.04865.0500;Stock
Pottasium iodate(SMART LAB A-2042);SMARTLAB;A-2042;Stock
Silver Sulphate(MERCK.1.01509.0100);MERCK;1.01509.0100;Stock
Sodium thiosulfahte (MERCK1.06516.0500);MERCK;1.06516.0500;Stock
